pattern,replacement
!lotwendigkeit,Notwendigkeit
Angekiagte,Angeklagte
Angeklaate,Angeklagte
Aufhcbung,Aufhebung
fostenfolge,Kostenfolge
Gestaltuug,Gestaltung
Hauntverhandlung,Hauptverhandlung
heisitzende,beisitzende
Iandgericht,Landgericht
Iintschädigung,Entschädigung
InNamen,Im Namen
Öberstaatsanwalt,Oberstaatsanwalt
oränungsgceräße,ordnungsgemäße
PFreiheitsberaubung,Freiheitsberaubung
RCSt,RGSt
Reichsjusiizminister,Reichsjustizminister
Sachrügsc,Sachrüge
sant,samt
StaB,StGB
StEO,StPO
StFO,StPO
STFO,StPO
Strafiscnat,Strafsenat
Straftilg6,StraftilgG
üie,die
Urtcil,Urteil
Verne'mung,Vernehmung
verrtoßen,verstoßen
Vnachtsankeit,Unachtsamkeit
Yröffnungsbeschluss,Eröffnungsbeschluss
Zcugen,Zeugen
Zusamnentreffen,Zusammentreffen
Jügend,Jugend
Bündesgerichtshof,Bundesgerichtshof
Tändgericht,Landgericht
tatriohterliche,tatrichterliche
Oberstaatsanvaelt,Oberstaatsanwalt
Bundesanmvalt,Bundesanwalt
Tatcinheit,Tateinheit
Tahrlässiger,fahrlässiger
Sachbeschverde,Sachbeschwerde
Urteilsfoststellungen,Urteilsfeststellungen
tödlicho,tödliche
Vornurf,Vorwurf
Vorausschbarkeit,Voraussehbarkeit
Tatseito,Tatseite
